apple,52.3,2.4,1,0,0,0
cashews,603,2.9,15,9.36,0,35.95
almonds,621,11,256,4.56,0,48.7
champorado,97,0.7,13,0.11,2,0.08
gising gising,210,1.6,572.15,4.7,12.2,-
laing,190,0.5,212.5,13.5,12.5,3.4
paksiw na bangus,305,0,536,0,135,12
pastry,430.6,2.8,417.6,12.8,62.4,6.9
oatmeal,394,10.5,231,0.92,0,3.31
orange,31,0.9,1,0.03,0,0.08
boiled shrimp,84,0,94,0.12,-,0.22
hotdog,226,0.5,698,6.21,41,8
lugaw,71,0.1,1,0.9,0,0.13
lumpiang shanghai,285,2.1,343,9.3,91,3.4
adobo,189,0.2,201,-,-,-
adobong sitaw,242,5,1111,3,46,-
banana,126,3.3,2,0.07,0,0.06
banana cue,183,1.6,6,2.21,0,0.21
barbeque,408,0,340,10.25,83,13.91
boiled egg,166,0,136,3.58,460,4.82
bread,329,3.3,592,1.07,0,3.37
burger,250,1.7,441,4.18,28,4.56
carbonara,400,2,940,6,30,-
carrot,42,3.3,64,0.07,0,0.21
cheese,322,0,1337,13,68,6.62
cherries,106,1.7,4,0.11,0,0.29
chicken nuggets,220,1.2,520,2.22,22,7.9
daing na bangus,415,0,8616,5.75,-,15.3
dessert,125,1.6,46,3.114,7,1.46
dried fish,295.2,0,7171.2,0.5,154.8,1.2
ensaladang talong,77,3,3,1,-,2
french fries,328,3.9,187,2.7,1,12.68
fried meat,256,0,85,4.27,82,12.3
fruit,58.2,2,1.6,0,0,0.1
ginisang ampalaya,156,1.3,823,1.2,104.8,1.4
ice cream,157,0.5,58,5.87,33,3.04
lasagna,206,1.1,418,5.36,43,3.645
marshmallow,317,0.1,76,0.08,0,0.19
pineapple,119,1.1,1,0.04,0,0.37
pomelo,51,1.1,2,-,0,0.6
pizza,271,2.6,518,2.02,7,2.91
potato chip,532,3.1,527,3.4,0,27.28
rice cake,256,2.1,69,0.88,0,0.06
sauteed broccoli,61,2.6,150,0.529,0,2.66
seafood,83,0,395,0.201,97,0.387
simmered meat,284,1.1,315,-,-,-
sinigang na baboy,165,1,17,1.2,-,-
sinigang na hipon,148,4,354,0.4,137.8,1.1
siomai,298,0.6,291,490,48,7.1
siopao,294,-,-,4.75,-,5.98
sisig,283.3,0.8,651.8,11,119.9,13.2
sopas,186.8,1.4,103.6,1.8,45.8,2.3
soup,34,0.5,182,0.1,0,-
spaghetti,83,2.7,277,0.35,2,0.54
strawberry,34,1.9,1,0.01,0,0.13
suman,171,2.2,367,0.6,0,0.06
sushi,103,0.7,350,0.226,12,0.703
tamarind,258,5,4,0.27,0,0.24
tempura,308,1.5,1120,3.36,87,13.6
tinolang manok,213.6,2.2,434.6,1.3,75,5.1
tinolang tahong,33,0,92,0.08,-,0.2
tomato,25,0.3,11,0.01,0,0.06
vegetable,23,0.6,8,0.02,0,0.05
vegetable salad,143,1,115,1.2,0,4.6
watermelon,31,0.4,1,0.02,0,0.12
white rice,129,0.4,3,0.05,0,0.11
yogurt,83,0,35,2.16,12,2.34
pinakbet,42.1,1.5,69.2,0.6,3.6,1.5
pancit,106.5,1.3,368.5,0.5,15.3,1.9
pritong tilapia,228.8,0.7,280.6,3.3,71.3,8.9
abalone,120,0,372,0.18,101,0.25
abalone juice,74,0,241,-,-,-
amber fish,81,0,31,0.22,-,0.58
sinarapan,64,0,66,0.45,67,0.63
anchovy-indian-adult,85,0,163,-,-,-
anchovy-long-jawed-w/o head,129,0,148,-,-,-
anchovy-long-jawed-whole,69,0,120,0.53,78,0.73
barracuda-striped,90,-,154,0.35,-,0.67
butterfly fish-threadfin,85,-,-,-,-,-
fusilier-goldband,128,0,74,1.35,-,1.88
cardinal fish,73,-,-,-,-,-
carp,185,0,102,2.44,-,8.46
catfish-freshwater,80,0,63,0.14,35,0.32
catfish-saltwater,86,0,98,0.38,31,0.91
cavalla-banded,108,0,70,1.63,47,1.14
cavalla-banded-fried,160,0,87,4.63,-,3.24
cavalla-banded-steamed,67,0,42,1.32,-,0.92
clam-bilakong,82,0,572,0.39,63,0.65
clam-freshwater-tulya,95,0,34,0.33,0.84,0.45
clam-freshwater-tulya-boiled,105,0,74,0.18,65,0.71
clam-halaan,47,0,645,0.14,22,0.23
clam-halaan-boiled,74,0,-,0.11,38,0.41
clam-imbao,64,0,506,0.16,25,0.26
clam-imbao-boiled,47,0,-,0.06,21,0.22
clam-kabibi,62,0,921,0.31,50,0.52
clam-kanturi,59,0,457,0.19,31,0.33
clam-lukan,43,0,294,-,-,-
clam-rayed shell,48,0,357,0.16,25,0.26
clam-razor shell,41,0,329,0.07,25,0.14
clam-tongue,98,0,612,-,-,-
clam-tongue-head-blanched,79,0,-,-,-,-
clam-tongue-tail,51,0,369,-,-,-
clam-venus,138,0,961,0.39,63,0.65
clam-wedge shell,71,0,509,0.33,53,0.55
climbing perch-common,71,0,56,-,-,-
crab-blue swimming-fat,86,0,644,-,-,-
crab-blue swimming-w/o fat,93,0,342,0.1,-,0.27
crab-blue swimming-w/o fat-boiled,98,0,494,0.24,118,0.47
crab-mud-fat,188,0,1163,-,-,-
crab-mud-w/o fat,103,0,247,0.66,-,1.72
crab-mud-w/o fat-boiled,88,0,326,0.52,-,0.99
crab-shore,122,0,453,0.78,-,2.04
crevalle-deep-bellied,87,0,88,0.51,35,0.48
crevalle-even-bellied,85,0,83,0.82,56,0.77
croaker-tigertooth,89,0,62,0.32,-,0.65
croaker-plain,80,0,110,0.09,33,0.19
croaker-smooth-scaled whiskered,84,0,53,0.25,-,0.51
drepane-speckled,80,0,88,0.56,-,0.84
eel-silver pike,72,0,31,0.04,-,0.14
eel-swamp,139,0,150,1.4,-,4.81
fish roe,123,0,120,1.27,326,3.77
flatfish-rough-scaled,84,0,113,0.05,-,0.1
flatfish-smooth-scaled,81,0,94,0.05,-,0.1
flatfisht-indian,94,0,116,0.05,-,0.1
flathead-indian,90,0,91,0.04,23,0.09
flying fish,86,0,85,0.04,17,0.08
garfish-common,115,0,79,-,-,-
gizzard shad-short-finned,78,0,98,0.09,-,0.26
goatfish-ochrebanded,87,0,98,0.38,17,0.62
goby-flat-headed,81,0,59,0.03,92,0.06
goby-long-tailed,89,0,60,0.36,-,0.72
gouramy,91,0,19,-,-,-
grouper-whitespotted,63,0,129,0.09,-,0.21
hair tail-largehead,80,0,86,0.11,-,0.21
halfbeak-long billed,88,0,-,0.24,92,0.58
hard-tail,96,0,102,0.34,-,0.7
herring-big-eyed,96,0,64,0.19,-,0.54
herring-deep-bodied,91,0,59,0.31,-,0.87
lizard fish-common,75,0,70,0.05,19,0.09
mackerel-short-bodied,108,0,172,0.68,-,1.39
mackerel-short-bodied-fried,221,0,117,4.24,-,8.63
mackerel-spanish,80,0,49,0.32,-,0.57
mackerel-indian,118,0,49,0.8,39,1.57
milkfish,137,0,67,1.58,49,4.2
milkfish-broiled,137,0,82,-,37,-
milkfish-fried,188,0,106,-,-,-
mojarra-longfin,77,0,48,-,-,-
mojarra-whipfin,87,0,107,-,-,-
moonfish-spotted,116,0,73,-,-,-
moray,116,0,41,0.81,43,2.79
mudfish-striated,99,0,88,-,-,-
mudfish-striated-boiled,95,0,95,-,-,-
mullet-black-finned,113,0,68,1.18,52,1.89
mullet-large-scaled,89,0,61,0.29,-,0.47
mussel-green,166,0,528,1.42,-,3.73
mussel-green-boiled,33,0,92,0.08,-,0.2
bream-doublewhip threadfin,90,0,88,0.35,62,0.71
octopus,59,0,363,0.13,28,0.23
oyster,60,0,882,0.44,35,0.84
oyster-window pane-meat,119,0,467,0.37,29,0.69
parrot fish-daisy,84,0,103,-,-,-
threadfish-indian,89,0,65,0.23,-,0.47
silvergrunt-bluecheek,83,0,56,0.2,-,0.36
pomfret-black,93,0,98,1.17,21,0.64
bream-humpnose big-eye,80,0,48,0.13,-,0.25
emperor-pink ear,89,0,53,0.13,-,0.25
seabream-goldsilk,77,0,48,0.03,-,0.05
red snapper,64,0,79,0.04,-,0.11
runner-rainbow,85,0,54,0.2,-,0.4
sardine-bombon,114,0,65,1.08,48,1.84
sardine-fimbriated,106,0,96,0.71,32,1.21
sardine-fimbriated-fry,101,0,115,0.55,25,0.94
sardine-indian,120,0,68,1.24,55,2.11
scad-big-eye,105,0,62,1.14,38,1.21
scad-round,100,0,88,0.78,-,1.25
sea bass,75,0,69,0.1,-,0.23
sea catfish-smooth-headed,89,0,106,0.13,-,0.23
sea cucumber,23,0,554,0.01,0,0.03
shrimp-banana prawn,91,0,128,0.21,100,0.37
shrimp-banana prawn-boiled,104,0,113,0.12,-,0.22
shrimp-freshwater,93,0,235,0.44,-,0.8
shrimp-freshwater-small,98,0,21,0.49,-,0.89
shrimp-giant tiger prawn,93,0,129,0.23,112,0.42
shrimp-giant tiger prawn-head,74,0,101,-,-,-
shrimp-greasy back,78,0,110,0.16,75,0.29
shrimp-greasy back-boiled,84,0,94,0.12,-,0.22
shrimp-sergestid,78,0,418,0.34,-,0.61
siganid-javan,89,0,65,-,-,-
silver-bar fish,87,0,60,0.07,-,0.2
slipmouth-black-finned,88,0,105,-,-,-
slipmouth-common,91,0,162,-,-,-
snail-black,79,0,84,0.1,-,0.14
snail-freshwater,94,0,53,0.21,29,0.29
snail-golden,74,0,69,0.15,21,0.22
spadefish,99,0,81,-,-,-
squid,71,0,143,0.26,169,0.46
squid-boiled,80,0,40,-,-,-
sting ray-blue-spotted,74,0,73,0.02,27,0.03
sting ray-honeycomb,59,0,58,0.03,53,0.06
surgeonfish-blue-lined,78,0,-,-,-,-
swordfish,113,0,75,0.96,40,2.48
tarpon,88,0,58,0.12,-,0.33
ten-pounder-hawaiian,77,0,53,0.05,-,0.13
therapon-convex-lined,79,0,101,-,-,-
theraponid-silvery,75,0,68,-,-,-
terapon-largescaled,89,0,65,-,-,-
threadfin fish,81,0,26,0.48,33,0.24
threadfin-fourfinger,73,0,24,0.06,-,0.03
threadfin-small-mouth,81,0,26,0.12,-,0.06
tilapia,107,0,52,1.01,-,2.12
tuna-frigate,119,0,73,0.84,-,1.3
tuna-yellow-fin,107,0,95,0.49,-,0.75
whiting-common,89,0,82,0.09,26,0.27
amber fish-dried,275,0,8814,1.25,-,3.32
anchovy-long-jawed-dried,318,0,-,1.82,92,2.42
anchovy-long-jawed-dried-ground,251,0,-,1.01,51,1.34
fusilier-goldband-dried,214,0,7353,1.4,-,1.96
catfish-freshwater-dried,275,0,7799,-,-,-
catfish-saltwater-dried,201,0,6807,0.72,58,1.7
cavalla-banded-dried,218,0,6448,1.9,112,1.72
cod-dried,218,0,6050,0.23,77,0.58
crab-mud-meat-cnd,102,0,743,0.22,105,0.42
crevalle-deep-bellied-dried,288,0,6773,3.36,-,4.78
croaker-plain-dried,201,0,7071,0.83,-,1.72
eel-swamp-dried,238,0,7479,1.09,58,3.73
fish ball,121,0,898,-,-,-
fish ball-fried,266,0,1723,6.42,42,3.4
fish preparation-quekiam,129,-,-,-,-,-
flatfish-rough-scaled-dried,266,0,8627,0.32,-,0.66
flatfish-rough-scaled-dried,201,0,6387,0.25,-,0.51
gizzard shad-short-finned-dried,149,0,5902,1.14,-,3.27
gizzard shad-short-finned-smoked,130,0,1219,0.59,-,1.7
goby-flat-headed-dried,187,0,7270,0.14,-,0.27
sinarapan-dried,291,0,-,1.16,-,2.31
grouper-whitespotted-dried,158,0,4584,0.37,58,0.82
hard-tail-dried,219,0,6200,0.77,-,1.56
jellyfish-dried,69,0,9629,0.1,2,0.24
lizard fish-common-dried,178,0,7126,0.33,120,0.56
mackerel scad-in tomato sce-cnd,147,0.2,212,2.02,34,6.11
mackerel-short-bodied-dried,202,0,6840,1.09,150,1.56
mackerel-short-bodied-smoked,139,0,544,0.53,-,1.24
mackerel-spanish-dried,184,0,6409,0.59,81,0.83
mackerel-indian-dried,193,0,6442,0.85,117,1.21
mackerel-indian-in tomato sce,105,0.1,186,0.88,15,2.66
milkfish-dried,415,0,8616,5.75,-,15.3
milkfish-in natural oil-cnd,108,0,266,-,-,-
milkfish-in spiced oil-cnd,295,0.5,323,4.07,36,15.08
milkfish-smoked,212,0,1446,2.84,89,7.55
mudfish-striated-dried,215,0,-,-,-,-
mullet-black-finned-dried,189,0,6001,2.09,92,3.36
mullet-large-scaled-dried,199,0,7104,0.56,25,0.9
bream-doublewhip threadfin-dried,162,0,6531,0.54,95,1.08
oyster-dried,355,0,802,2.63,-,2.63
parrot fish-daisy-dried,242,0,8616,-,-,-
emperor-pink ear-dried,181,0,6630,0.24,-,0.45
seabream-goldsilk-dried,193,0,6575,0.96,-,1.82
red snapper-dried,204,0,7468,0.57,75,1.43
runner-rainbow-in oil-cnd,192,0,444,1.3,31,6.33
sardine-bombon-dried,157,0,207,1.56,116,2.75
sardine-bombon-smoked,155,0,1453,0.7,40,2.24
sardine-fimbriated-fry-dried,183,0,-,0.57,42,0.99
sardine-fimbriated-fry-dried,343,0,-,3.39,-,5.98
sardine-fimbriated-smoked,168,0,1443,0.82,47,2.64
sardine-indian-dried,160,0,-,0.3,-,0.52
sardine-indian-dried,215,0,-,1.29,96,2.28
sardine-indian-smoked,160,0,1348,0.9,51,2.9
sardines-in spiced oil-cnd,438,0.7,432,6.4,57,23.7
sardines-in tomato sce-cnd,88,0.4,311,2.3,48,0.4
sardines-smoked-cnd,157,0,1112,-,-,-
scad-big-eye-dried,175,0,6531,0.45,62,0.65
scad-big-eye-smoked,134,0,1233,1.72,57,1.82
scad-round-dried,199,0,6751,1.01,139,1.45
scad-round-smoked,158,0,1478,1.29,100,2.09
sea bass-dried,244,0,4869,1.94,156,4.43
shrimp-freshwater-small-dried,246,0,3129,0.34,403,0.79
shrimp-sergestid-dried,283,0,2900,0.53,630,1.25
shrimp-small marine-dried,263,0,2774,0.32,385,0.76
siganid-javan-dried,184,0,5814,-,-,-
slipmouth-common-dried,185,0,6101,-,-,-
slipmouth-common-dried,214,0,6939,-,-,-
squid-dried,289,0,864,0.61,-,1.03
sting ray-honeycomb-dried,209,0,-,0.15,-,0.27
surgeonfish-blue-lined-dried,186,0,4852,-,-,-
swordfish-dried,250,0,6310,0.96,40,2.48
theraponid-silvery-dried,340,0,-,-,-,-
tilapia-dried,313,0,10392,2.08,87,4.34
tuna adobo-cnd,140,0,309,1.2,29,5.87
tuna fillet-in soya oil-cnd,309,0,577,3.26,31,17.32
tuna fillet-in veg oil-cnd,258,0,516,-,38,-
tuna flakes-in brine-cnd,95,0,316,0.69,37,1.66
tuna flakes-in veg oil-cnd,309,0,503,-,38,-
tuna mechado-cnd,121,0.5,408,0.9,22,4.4
tuna sardines-in oil-cnd,183,0,357,1.8,30,10.17
tuna spread-cnd,331,2.5,881,4.17,44,21.23
tuna-frigate-dried,251,0,6050,0.78,112,1.2
tuna-yellow-fin-dried,230,0,5916,0.46,103,0.7
lapas,120,0,372,0.18,101,0.25
lapas-katas,74,0,241,-,-,-
tonto,81,0,31,0.22,-,0.58
tabios,64,0,66,0.45,67,0.63
tuakang,85,0,163,-,-,-
dilis-walang ulo,129,0,148,-,-,-
dilis-buo,69,0,120,0.53,78,0.73
turcillo,90,-,154,0.35,-,0.67
paru-paro,85,-,-,-,-,-
dalagang bukid,128,0,74,1.35,-,1.88
dangat,73,-,-,-,-,-
karpa,185,0,102,2.44,-,8.46
hito,80,0,63,0.14,35,0.32
kanduli,86,0,98,0.38,31,0.91
talakitok,108,0,70,1.63,47,1.14
talakitok-prito,160,0,87,4.63,-,3.24
talakitok-pinasingawan,67,0,42,1.32,-,0.92
bilakong,82,0,572,0.39,63,0.65
tulya,95,0,34,0.33,0.84,0.45
tulya-nilaga,105,0,74,0.18,65,0.71
halaan,47,0,645,0.14,22,0.23
halaan-nilaga,74,0,-,0.11,38,0.41
imbao,64,0,506,0.16,25,0.26
imbao-nilaga,47,0,-,0.06,21,0.22
kabibi,62,0,921,0.31,50,0.52
kanturi,59,0,457,0.19,31,0.33
lukan,43,0,294,-,-,-
paros,48,0,357,0.16,25,0.26
tikhan,41,0,329,0.07,25,0.14
balay,98,0,612,-,-,-
balay-ulo-binanlian,79,0,-,-,-,-
balay-buntot,51,0,369,-,-,-
bigatan,138,0,961,0.39,63,0.65
alamis,71,0,509,0.33,53,0.55
martiniko,71,0,56,-,-,-
alimasag alige,86,0,644,-,-,-
alimasag laman,93,0,342,0.1,-,0.27
alimasag laman-nilaga,98,0,494,0.24,118,0.47
alimango alige,188,0,1163,-,-,-
alimango laman,103,0,247,0.66,-,1.72
alimango laman-nilaga,88,0,326,0.52,-,0.99
talangka,122,0,453,0.78,-,2.04
salay-salay aso,87,0,88,0.51,35,0.48
salay-salay,85,0,83,0.82,56,0.77
abo,89,0,62,0.32,-,0.65
croaker-truncate-tail,80,0,110,0.09,33,0.19
croaker-smooth-scaled whiskered,84,0,53,0.25,-,0.51
mayang,80,0,88,0.56,-,0.84
pindanga,72,0,31,0.04,-,0.14
palos,139,0,150,1.4,-,4.81
isda-itlog,123,0,120,1.27,326,3.77
dapa,84,0,113,0.05,-,0.1
dapang bilog,81,0,94,0.05,-,0.1
kalangkaw,94,0,116,0.05,-,0.1
sunog,90,0,91,0.04,23,0.09
borador,86,0,85,0.04,17,0.08
kahound needlefish,115,0,79,-,-,-
chacunda gizzard shad,78,0,98,0.09,-,0.26
saramulyete,87,0,98,0.38,17,0.62
biyang puti,81,0,59,0.03,92,0.06
talimusak,89,0,60,0.36,-,0.72
gurami,91,0,19,-,-,-
lapu-lapu,63,0,129,0.09,-,0.21
balila,80,0,86,0.11,-,0.21
buguing,88,0,-,0.24,92,0.58
oriles,96,0,102,0.34,-,0.7
dilat,96,0,64,0.19,-,0.54
lapad/,91,0,59,0.31,-,0.87
kalaso,75,0,70,0.05,19,0.09
hasa-hasa,108,0,172,0.68,-,1.39
hasa-hasa-prito,221,0,117,4.24,-,8.63
tangigi,80,0,49,0.32,-,0.57
alumahan,118,0,49,0.8,39,1.57
bangus,137,0,67,1.58,49,4.2
bangus-inihaw,137,0,82,-,37,-
bangus-prito,188,0,106,-,-,-
hubad,77,0,48,-,-,-
malakapas,87,0,107,-,-,-
hiwas,116,0,73,-,-,-
malabanos,116,0,41,0.81,43,2.79
dalag,99,0,88,-,-,-
dalag-nilaga,95,0,95,-,-,-
talilong,113,0,68,1.18,52,1.89
banak,89,0,61,0.29,-,0.47
tahong,166,0,528,1.42,-,3.73
tahong-nilaga,33,0,92,0.08,-,0.2
bisugo,90,0,88,0.35,62,0.71
pugita,59,0,363,0.13,28,0.23
talaba,60,0,882,0.44,35,0.84
kapis-laman,119,0,467,0.37,29,0.69
isdang loro,84,0,103,-,-,-
damis,89,0,65,0.23,-,0.47
bangok-ngok,83,0,56,0.2,-,0.36
pampano,93,0,98,1.17,21,0.64
malaking mata,80,0,48,0.13,-,0.25
bitilla,89,0,53,0.13,-,0.25
bakokong moro,77,0,48,0.03,-,0.05
maya-maya,64,0,79,0.04,-,0.11
salmon,85,0,54,0.2,-,0.4
tawilis,114,0,65,1.08,48,1.84
tabagak,106,0,96,0.71,32,1.21
silinyasi,101,0,115,0.55,25,0.94
sardine-indian oil,120,0,68,1.24,55,2.11
matang baka,105,0,62,1.14,38,1.21
galunggong,100,0,88,0.78,-,1.25
apahap,75,0,69,0.1,-,0.23
bunguan,89,0,106,0.13,-,0.23
balatan,23,0,554,0.01,0,0.03
hipon-puti,91,0,128,0.21,100,0.37
hipon-puti-nilaga,104,0,113,0.12,-,0.22
ulang,93,0,235,0.44,-,0.8
hipon-tagunton,98,0,21,0.49,-,0.89
sugpo,93,0,129,0.23,112,0.42
sugpo-ulo,74,0,101,-,-,-
hipon-suwahe,78,0,110,0.16,75,0.29
hipon-suwahe-nilaga,84,0,94,0.12,-,0.22
alamang,78,0,418,0.34,-,0.61
samaral,89,0,65,-,-,-
dorab wolf-herring,87,0,60,0.07,-,0.2
dalangat,88,0,105,-,-,-
sapsap,91,0,162,-,-,-
kuhol-itim,79,0,84,0.1,-,0.14
susong pilipit,94,0,53,0.21,29,0.29
kuhol-kulay ginto,74,0,69,0.15,21,0.22
spotted scat,99,0,81,-,-,-
pusit,71,0,143,0.26,169,0.46
pusit-nilaga,80,0,40,-,-,-
dahunan,74,0,73,0.02,27,0.03
paging-bulik,59,0,58,0.03,53,0.06
labahita,78,0,-,-,-,-
malasugi,113,0,75,0.96,40,2.48
buwan-buwan,88,0,58,0.12,-,0.33
hawaiian ladyfish,77,0,53,0.05,-,0.13
bagaong,79,0,101,-,-,-
silver perch,75,0,68,-,-,-
babansi,89,0,65,-,-,-
mamale,81,0,26,0.48,33,0.24
mamale,73,0,24,0.06,-,0.03
mamaleng-bato,81,0,26,0.12,-,0.06
tilapia,107,0,52,1.01,-,2.12
tulingan,119,0,73,0.84,-,1.3
tambakol,107,0,95,0.49,-,0.75
asohos,89,0,82,0.09,26,0.27
tonto-daing,275,0,8814,1.25,-,3.32
dilis-tuyo,318,0,-,1.82,92,2.42
dilis-giniling,251,0,-,1.01,51,1.34
dalagang bukid-daing,214,0,7353,1.4,-,1.96
hito-daing,275,0,7799,-,-,-
kanduli-daing,201,0,6807,0.72,58,1.7
maliputo-daing,218,0,6448,1.9,112,1.72
bakalaw-daing,218,0,6050,0.23,77,0.58
alimango laman-de lata,102,0,743,0.22,105,0.42
salay-salay aso-daing,288,0,6773,3.36,-,4.78
alakaak-daing,201,0,7071,0.83,-,1.72
palos-daing,238,0,7479,1.09,58,3.73
fish ball,121,0,898,-,-,-
fish ball-fried,266,0,1723,6.42,42,3.4
kikyam,129,-,-,-,-,-
dapa-tuyo,266,0,8627,0.32,-,0.66
dapa-daing,201,0,6387,0.25,-,0.51
kabasi-daing,149,0,5902,1.14,-,3.27
kabasi-tinapa,130,0,1219,0.59,-,1.7
biyang puti-daing,187,0,7270,0.14,-,0.27
tabyos-tuyo,291,0,-,1.16,-,2.31
lapu-lapu-daing,158,0,4584,0.37,58,0.82
oriles-daing,219,0,6200,0.77,-,1.56
dikya-tuyo,69,0,9629,0.1,2,0.24
kalaso-daing,178,0,7126,0.33,120,0.56
bakutut-sa tomato sce-de lata,147,0.2,212,2.02,34,6.11
hasa-hasa-tuyo,202,0,6840,1.09,150,1.56
hasa-hasa-tinapa,139,0,544,0.53,-,1.24
tangigi-daing,184,0,6409,0.59,81,0.83
alumahan-daing,193,0,6442,0.85,117,1.21
alumahan-sa tomato sce,105,0.1,186,0.88,15,2.66
bangus-daing,415,0,8616,5.75,-,15.3
bangus-salmon style-de lata,108,0,266,-,-,-
bangus-spanish style-de lata,295,0.5,323,4.07,36,15.08
bangus-tinapa,212,0,1446,2.84,89,7.55
dalag-daing,215,0,-,-,-,-
talilong-daing,189,0,6001,2.09,92,3.36
banak-daing,199,0,7104,0.56,25,0.9
bisugo-daing,162,0,6531,0.54,95,1.08
talaba-tuyo,355,0,802,2.63,-,2.63
isdang loro-daing,242,0,8616,-,-,-
bitilla-tuyo,181,0,6630,0.24,-,0.45
bakokong moro-daing,193,0,6575,0.96,-,1.82
maya-maya-daing,204,0,7468,0.57,75,1.43
salmon-sa mantika-de lata,192,0,444,1.3,31,6.33
tawilis-tuyo,157,0,207,1.56,116,2.75
tawilis-tinapa,155,0,1453,0.7,40,2.24
silinyasi-tuyo,183,0,-,0.57,42,0.99
silinyasi-daing,343,0,-,3.39,-,5.98
tabagak-tinapa,168,0,1443,0.82,47,2.64
tamban-daing,160,0,-,0.3,-,0.52
tamban-tuyo,215,0,-,1.29,96,2.28
tamban-tinapa,160,0,1348,0.9,51,2.9
sardinas-spanish style-de lata,438,0.7,432,6.4,57,23.7
sardinas-sa tomato sce-de lata,88,0.4,311,2.3,48,0.4
sardinas-tinapa-de lata,157,0,1112,-,-,-
matang baka-daing,175,0,6531,0.45,62,0.65
matang baka-tinapa,134,0,1233,1.72,57,1.82
galunggong-daing,199,0,6751,1.01,139,1.45
galunggong-tinapa,158,0,1478,1.29,100,2.09
apahap-daing,244,0,4869,1.94,156,4.43
tagunton-tuyo,246,0,3129,0.34,403,0.79
alamang-tuyo,283,0,2900,0.53,630,1.25
hibe,263,0,2774,0.32,385,0.76
samaral-daing,184,0,5814,-,-,-
sapsap-daing,185,0,6101,-,-,-
sapsap-tuyo,214,0,6939,-,-,-
pusit-tuyo,289,0,864,0.61,-,1.03
paging-bulik-daing,209,0,-,0.15,-,0.27
